,simulation_name,method_name,step_size,tolerance,total_iteration,simulation_time,computation_time
0,cnn_hole_fill_2,rkacem_system_method,0.1,0.5,13,30.0,2.622721910476685
1,cnn_hole_fill_2,rkacem_system_method,0.25,0.5,13,30.0,2.118518114089966
2,cnn_hole_fill_2,rkacem_system_method,0.5,0.5,14,30.0,2.6170663833618164
3,cnn_hole_fill_2,rkacem_system_method,0.75,0.5,14,30.0,2.450061559677124
4,cnn_hole_fill_2,rkacem_system_method,1.0,0.5,13,30.0,2.18202543258667
5,cnn_hole_fill_2,rkacem_system_method,1.25,0.5,13,30.0,2.386015653610229
6,cnn_hole_fill_2,rkacem_system_method,1.5,0.5,12,30.0,1.8808927536010744
7,cnn_hole_fill_2,rkacem_system_method,1.75,0.5,13,30.0,2.2712926864624023
8,cnn_hole_fill_2,rkacem_system_method,2.0,0.5,13,30.0,2.4956624507904053
9,cnn_hole_fill_2,rkacem_system_method,2.25,0.5,13,30.0,2.585263252258301
10,cnn_hole_fill_2,rkacem_system_method,0.1,0.1,14,30.0,2.2018964290618896
11,cnn_hole_fill_2,rkacem_system_method,0.25,0.1,15,30.0,2.613790512084961
12,cnn_hole_fill_2,rkacem_system_method,0.5,0.1,13,30.0,1.808933973312378
13,cnn_hole_fill_2,rkacem_system_method,0.75,0.1,14,30.0,2.3447790145874023
14,cnn_hole_fill_2,rkacem_system_method,1.0,0.1,13,30.0,2.2479825019836426
15,cnn_hole_fill_2,rkacem_system_method,1.25,0.1,13,30.0,2.264153957366944
16,cnn_hole_fill_2,rkacem_system_method,1.5,0.1,14,30.0,2.131807327270508
17,cnn_hole_fill_2,rkacem_system_method,1.75,0.1,14,30.0,2.4412662982940674
18,cnn_hole_fill_2,rkacem_system_method,2.0,0.1,14,30.0,2.484855890274048
19,cnn_hole_fill_2,rkacem_system_method,2.25,0.1,14,30.0,2.3249425888061523
20,cnn_hole_fill_2,rkacem_system_method,0.1,0.05,15,30.0,2.5699222087860107
21,cnn_hole_fill_2,rkacem_system_method,0.25,0.05,14,30.0,2.3714189529418945
22,cnn_hole_fill_2,rkacem_system_method,0.5,0.05,14,30.0,2.182608127593994
23,cnn_hole_fill_2,rkacem_system_method,0.75,0.05,14,30.0,2.5045828819274902
24,cnn_hole_fill_2,rkacem_system_method,1.0,0.05,14,30.0,2.9122376441955566
25,cnn_hole_fill_2,rkacem_system_method,1.25,0.05,14,30.0,2.304760456085205
26,cnn_hole_fill_2,rkacem_system_method,1.5,0.05,13,30.0,1.8412771224975584
27,cnn_hole_fill_2,rkacem_system_method,1.75,0.05,14,30.0,2.7235050201416016
28,cnn_hole_fill_2,rkacem_system_method,2.0,0.05,14,30.0,2.6814653873443604
29,cnn_hole_fill_2,rkacem_system_method,2.25,0.05,14,30.0,2.707144498825073
30,cnn_hole_fill_2,rkacem_system_method,0.1,0.01,8,8.126646226580213,1.0863981246948242
31,cnn_hole_fill_2,rkacem_system_method,0.25,0.01,8,9.187523848423345,0.9678897857666016
32,cnn_hole_fill_2,rkacem_system_method,0.5,0.01,16,30.0,2.596837520599365
33,cnn_hole_fill_2,rkacem_system_method,0.75,0.01,7,7.955476160463782,0.834242582321167
34,cnn_hole_fill_2,rkacem_system_method,1.0,0.01,7,8.63522351239752,0.8253757953643799
35,cnn_hole_fill_2,rkacem_system_method,1.25,0.01,7,8.629382241529619,0.8265852928161621
36,cnn_hole_fill_2,rkacem_system_method,1.5,0.01,7,8.400356673918505,0.9369406700134276
37,cnn_hole_fill_2,rkacem_system_method,1.75,0.01,15,30.0,2.864607334136963
38,cnn_hole_fill_2,rkacem_system_method,2.0,0.01,7,7.741218385472693,0.9162356853485109
39,cnn_hole_fill_2,rkacem_system_method,2.25,0.01,8,9.63344234752786,1.2000036239624023
40,cnn_hole_fill_2,rkacem_system_method,0.1,0.005,9,8.502468099079378,1.3185043334960938
41,cnn_hole_fill_2,rkacem_system_method,0.25,0.005,8,7.721735725848935,1.3444383144378662
42,cnn_hole_fill_2,rkacem_system_method,0.5,0.005,8,7.950907962023036,1.0602540969848633
43,cnn_hole_fill_2,rkacem_system_method,0.75,0.005,7,7.307790373982163,1.0016117095947266
44,cnn_hole_fill_2,rkacem_system_method,1.0,0.005,7,7.844432180596749,0.8611783981323242
